Cliente;Login;Endereco;Numero;Bairro;Cidade;Estado
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_TERESINA_NORTE;RUA RUI BARBOSA;3415; MATADOURO; TERESINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_TERESINA_NORTE;RUA RUI BARBOSA;3415; MATADOURO; TERESINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_TERESINA_LESTE;AVENIDA JOAO ANTONIO LEITAO;3868; MORADA SO SOL; TERESINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_TERESINA_LESTE;AVENIDA JOAO ANTONIO LEITAO;3868; MORADA DO SOL; TERESINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_TERESINA_DISTRITO_INDUSTRIAL;RUA ALTAMIRA;1; ESPLANADA; TERESINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_TERESINA_DISTRITO_INDUSTRIAL;RUA ALTAMIRA;1; ESPLANADA; TERESINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_TERESINA_DIRCEU;RUA JOAQUIM NELSON;3053; REDONDA; TERESINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_TERESINA_DIRCEU;RUA JOAQUIM NELSON;3053; REDONDA; TERESINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_TERESINA_CIDADE_VERDE;AVENIDA PEDRO FREITAS;1270; VERMELHA; TERESINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_TERESINA_CIDADE_VERDE;AVENIDA PEDRO FREITAS;1270; VERMELHA; TERESINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_TEOFILO_OTONI;RUA DR MANOEL ESTEVES;89; CENTRO; TEOFILO OTONI; MG
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_TEOFILO_OTONI;RUA DR MANOEL ESTEVES;89; CENTRO; TEOFILO OTONI; MG
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_TANGARA;RUA MAJOR LULA GOMES;30; CENTRO; TANGARA; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_TANGARA;RUA MAJOR LULA GOMES;30; CENTRO; TANGARA; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_SIMPLICIO_MENDES;AVENIDA FRANCISCO MOREIRA PINTO; S/N; SAO FRANCISCO; SIMPLICIO MENDES; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_SIMPLICIO_MENDES;AVENIDA FRANCISCO MOREIRA PINTO; S/N; SAO FRANCISCO; SIMPLICIO MENDES; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_SAO_RAIMUNDO_NONATO;RUA CAPITAO TOMAZINHO; S/N; CENTRO; SAO RAIMUNDO NONATO; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_SAO_RAIMUNDO_NONATO;RUA CAPITAO TOMAZINHO; S/N; CENTRO; SAO RAIMUNDO NONATO; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_SAO_JOAO_DO_PIAUI;AVENIDA CANDIDO COELHO;556; CENTRO; SAO JOAO DO PIAUI; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_SAO_JOAO_DO_PIAUI;AVENIDA CANDIDO COELHO;556; CENTRO; SAO JOAO DO PIAUI; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_SANTA_RITA;AVENIDA DR. FLAVIO RIBEIRO COUTINHO;171; CENTRO; SANTA RITA; PB
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_RIBEIROPOLIS;AVENIDA BARAO DO RIO BRANCO;147; CENTRO; RIBEIROPOLIS; SE
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_RIBEIROPOLIS;AVENIDA BARAO DO RIO BRANCO;147; CENTRO; RIBEIROPOLIS; SE
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_REGENERACAO;AVENIDA OSÓRIO BATISTA;443; CENTRO; REGENERACAO; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_REGENERACAO;AVENIDA OSÓRIO BATISTA;443; CENTRO; REGENERACAO; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_RAFAEL_FERNANDES;RUA EGIDIO CHAGAS DO NASCIMENTO;634; CENTRO; RAFAEL FERNANDES; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_RAFAEL_FERNANDES;RUA EGIDIO CHAGAS DO NASCIMENTO;634; CENTRO; RAFAEL FERNANDES; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_PIRACURUCA;RUA JOSÉ DE MORAES MENESES;350; CENTRO; PIRACURUCA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_PIRACURUCA;RUA JOSÉ DE MORAES MENESES;350; CENTRO; PIRACURUCA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_PICOS_CAJU_MEL;AVENIDA SENADOR HELVIDIO NUNES;1782; CATAVENTO; PICOS; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_PICOS_CAJU_MEL;AVENIDA SENADOR HELVIDIO NUNES;1782; CATAVENTO; PICOS; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_PAULISTANA;AVENIDA PRESIDENTE COSTA E SILVA; S/N; CENTRO; PARNAIBA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_PAULISTANA;AVENIDA PRESIDENTE COSTA E SILVA; S/N; CENTRO; PAULISTANA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_PARNAIBA_DELTA_2;AVENIDA DEPUTADO PINHEIRO MACHADO;1468; PINDORAMA; PARNAIBA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_PARNAIBA_DELTA_2;AVENIDA DEPUTADO PINHEIRO MACHADO;1468; PINDORAMA; PARNAIBA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_PARNAIBA_DELTA_1;RUAA OSWALDO CRUZ;2095; PIAUI; PARNAIBA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_PARNAIBA_DELTA_1;RUA OSWALDO CRUZ;2095; PIAUI; PARNAIBA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_NS_NOVA_CRUZ;RUA FELIPE PEGADO CORTEZ;97; CENTRO; NOVA CRUZ; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_NS_SENHORA_DO_SOCORRO;AVENIDA COLETORA A;1202; CONJ MARCOS FREIRE II; NS SENHORA DO SOCORRO; SE
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_NS_SENHORA_DO_SOCORRO;AVENIDA COLETORA A;1202; CONJ MARCOS FREIRE II; NS SENHORA DO SOCORRO; SE
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_NATAL_ARENA_DUNAS;AVENIDA PRUDENTE DE MORAIS;4716; LAGOA NOVA; NATAL; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_NATAL_ARENA_DUNAS;AVENIDA PRUDENTE DE MORAIS;4716; LAGOA NOVA; NATAL; RN
SUAPE COMPLEXO INDUSTRIAL PORTUARIO GOVERNADOR ERALDO GUEIROS;PREDIO_DA_AUTORIDADE_PORTUARIA_PAP;Km 10; Rodovia PE-60; sn - Cabo de Santo Agostinho; Ipojuca - PE;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_NATAL_ALECRIM;AVENIDA PRESIDENTE JOSE BENTO;474; ALECRIM; NATAL; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_NATAL_ALECRIM;AVENIDA PRESIDENTE JOSE BENTO;474; ALECRIM; NATAL; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_OPALA;RUA CORINTO ANDRADE;694; CENTRO; OPALA;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_ROSARIO;AVENIDA TRAVESSA JOAQUIM SANTOS;133; CENTRO; ROSARIO; MA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_MONTE_SANTO;RUA SÃO MIGUEL;129; CENTRO; MONTE SANTOS; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_FEIRA_DE_SANTANA_MIAMI;AVENIDA SENHOR DOS PASSOS;1790; CENTRO; FEIRA DE SANTANA; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICA_PC_EUCLIDES_DA_CUNHA_COMPARTILHADO;RUA CASTRO ALVES;59; CENTRO; EUCLIDES DA CUNHA; BA
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_MOSSORO_NOVA_BETANIA;AVENIDA JOÃO DA ESCÓSSIA;1000; NOVA BETANIA; MOSSORO; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_MOSSORO_NOVA_BETANIA;AVENIDA JOÃO DA ESCÓSSIA;1000; NOVA BETANIA; MOSSORO; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_MONTE_AZUL;RUA EDUARDO TEIXEIRA CHAVES;160; SAO GERALDO; MONTE AZUL; MG
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_MARCOLANDIA;RUA JOAQUIM LIMA;36; CENTRO; MARCOLANDIA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_MARCOLANDIA;RUA JOAQUIM LIMA;36; CENTRO; MARCOLANDIA; PI
