Cliente;Login;Endereco;Numero;Bairro;Cidade;Estado
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_PARQUELANDIA;Rua Professor Anacleto; nº 45 - Parquelândia - Fortaleza/CE;;;
TELCO ADVISORS;FRANCISCA_REGINA_SALES_EEF;SALGADO; 63870-000 Boa Viagem - CE;;;
TELCO ADVISORS;BALMIZA_MARIA_VIEIRA_SAMPAIO;BARRO VERMELHO; 63870-000 Boa Viagem - CE.;;;
TELCO ADVISORS;EEF_ERNESTO_DE_SOUSA_NOBRE;JUREMA NOVA; S/N ZONA RURAL. 63960-000 Banabuiú - CE;;;
TELCO ADVISORS;ALBERTINA_MAIA_FERREIRA_EEF;RINARE SEDE; SN PREDIO. ZONA RURAL. 63960-000 Banabuiú - CE;;;
TELCO ADVISORS;DONA_MONICA_EMEIF;SANTA QUITERIA; S/N OLIVEIRAS. ZONA RURAL. 63750-000 Tamboril - CE;;;
TELCO ADVISORS;INACIO_PARENTE_EMEIF;APRAZIVEL; S/N ZONA RURAL. ZONA RURAL. 63750-000 Tamboril - CE;;;
TELCO ADVISORS;FRANCISCO_AMARAL_DOS_SANTOS_EMEIF;SAO FELIX; S/N ACUDINHO. ZONA RURAL. 63750-000 Tamboril - CE;;;
TELCO ADVISORS;NOSSA_SENHORA_DE_FATIMA_EMEIF;PIRANHAS; S/N SUCESSO. ZONA RURAL. 63750-000 Tamboril - CE;;;
TELCO ADVISORS;RAIMUNDO_AGOSTINHO_DA_SILVA_EMEIF;COMUNIDADE QUILOMBOLA DE TORRES; S/N CARVALHO. ZONA RURAL. 63750-000 Tamboril - CE;;;
TELCO ADVISORS;FRANCISCO_RODRIGUES_DE_MACEDO_EEIF;MONTEIRO; S/N ZONA RURAL. 63650-000 Quiterianópolis - CE;;;
TELCO ADVISORS;ANTONIO_BATISTA_DE_LIMA_EEIF;POMBO; S/N ZONA RURAL. 63650-000 Quiterianópolis - CE;;;
TELCO ADVISORS;ANIZIO_FROTA_EEIF;SAO FRANCISCO; S/N DISTRITO. 63650-000 Quiterianópolis - CE;;;
TELCO ADVISORS;PEDRO_MANOEL_BONFIM_EEIF;CRUZ; S/N ZONA RURAL. 63650-000 Quiterianópolis - CE;;;
TELCO ADVISORS;JOSE_GONCALVES_LIMA_EEIF;GAVIAO; S/N ZONA RURAL. 63650-000 Quiterianópolis - CE;;;
TELCO ADVISORS;ROSENDO_FERREIRA_DA_MOTA_EEF;POVOADO DE TATAJUBA; S/N COM RENATO VITURIANO. ZONA RURAL. 63740-000 Novo Oriente - CE;;;
TELCO ADVISORS;FRANCISCO_EDSON_DE_OLIVEIRA_CEIF_PROF;SITIO MONTE ALEGRE; S/N ZONA RURAL. 63740-000 Novo Oriente - CE;;;
TELCO ADVISORS;JOSE_PEDRO_DE_ARAUJO_EEF;SITIO SAO PEDRO; S/N ZONA RURAL. 63740-000 Novo Oriente - CE;;;
TELCO ADVISORS;EDVAL_ARAUJO_DA_SILVA_CEIF;DISTRITO DE SAO RAIMUNDO; S/N ZONA RURAL. 63740-000 Novo Oriente - CE;;;
TELCO ADVISORS;HONORIO_FERNANDES_ARAUJO_EEF;DISTRITO DE TRES IRMAOS; S/N VILA DOS BORGES. ZONA RURAL. 63740-000 Novo Oriente - CE;;;
TELCO ADVISORS;EMEIFTI_SAO_FRANCISCO;ASSENTAMENTO SANTANA; 63780-000 Monsenhor Tabosa - CE;;;
TELCO ADVISORS;EEIF_JOSE_RODRIGUES_ZUMBA;VARZEA ALEGRE; S/N ZONA RURAL. 63640-000 Independência - CE;;;
TELCO ADVISORS;EEIF_ANTERO_FERREIRA_DA_PONTE;RIACHO DO GADO; S/N ZONA RURAL. 63640-000 Independência - CE;;;
TELCO ADVISORS;ANTERO_FERREIRA_DA_PONTE_eeif;RIACHO DO GADO; S/N ZONA RURAL. 63640-000 Independência - CE;;;
TELCO ADVISORS;EEIF_JOAO_CAPISTRANO_VIEIRA_GOMES;JUCA; S/N ZONA RURAL. 63640-000 Independência - CE;;;
TELCO ADVISORS;MANOEL_FERREIRA_DE_MELO_EEF;LOCALIDADE EMATUBA; S/N ZONA RURAL. 63640-000 Independência - CE;;;
TELCO ADVISORS;MANOEL_NASCIMENTO_ARAUJO_EEF;SANTA LUZIA; S/N ZONA RURAL. 63640-000 Independência - CE;;;
TELCO ADVISORS;EDGAR_RODRIGUES_LOIOLA_EEF;SAO LOURENCO; S/N ZONA RURAL. 63640-000 Independência - CE;;;
TELCO ADVISORS;EEIF_ANTO_VIEIRA_COUTINHO;CATINGUEIRO; S/N ZONA RURAL. 63640-000 Independência - CE;;;
TELCO ADVISORS;EEIEF_JOSE_ALVES_DE_SENA;AVENIDA MIGUEL ROSA SOUSA; 1119 CABELO DO NEGRO. ZONA RURAL. 62210-000 Ararendá - CE;;;
TELCO ADVISORS;EMTI_NAZARE_FARIAS_DE_LIMA;RUA AMILTON NOGUEIRA DE CASTRO; 350 ITAIPABA. 62870-000 Pacajus - CE;;;
TELCO ADVISORS;CENTRO_DE_EDUCACAO_INFANTIL_INTEGRAL_MUNDO_MAGICO;RUA JOAO ALVES DA COSTA; 282 ITAIPABA. 62870-000 Pacajus - CE.;;;
TELCO ADVISORS;JOSE_GERALDO_FILHO_EMTI;RUA JOSE GERALDO FILHO; S/N FORMOSO. 62870-000 Pacajus - CE;;;
TELCO ADVISORS;JOAQUIM_AMANCIO_BEZERRA_EEF;AVENIDA DUCA PEDRO; CE 253 - MANGABEIRA; S/N ESTRADA DE CASCAVEL. ZONA RURAL. 62870-000 Pacajus - CE;;
TELCO ADVISORS;HONORIO_ANTONIO_DE_ABREU_EMEIEF;AV. MANOEL HONORIO DE ABREU; SN CACIMBAO. 61953-000 Maranguape - CE;;;
TELCO ADVISORS;JOAQUIM_VIEIRA_DE_ANDRADE_EMEI;RUA PATRICIO DA PAIXAO; SN ALTO DAS VASSOURAS. AMANARI. 61979-000 Maranguape - CE;;;
TELCO ADVISORS;MOACIR_PINHEIRO_DE_SOUSA_EEIEF;BR 020 KM 26; S/N POCO VERDE. 61688-990 Caucaia - CE;;;
TELCO ADVISORS;JOAO_CORDEIRO_DE_MIRANDA_EEIEF;BR 020 KM 37; SN BOM PRINCIPIO. 61677-990 Caucaia - CE;;;
TELCO ADVISORS;NELY_SALES_GADELHA_EEIEF;BOM PRICIPIO VELHO; SN BR 020 KM 45. BOM PRICIPIO. 61677-990 Caucaia - CE;;;
TELCO ADVISORS;NOSSA_SENHORA_DA_CONCEICAO_EEIEF;ASSENTAMENTO SANTA BARBARA; SN SITIOS NOVOS. 61695-000 Caucaia - CE;;;
TELCO ADVISORS;JULIO_DE_CASTRO_E_SILVA_EEIEF;FAZENDA IPU; S/N TUCUNDUBA. 61688-000 Caucaia - CE;;;
TELCO ADVISORS;JOSE_RAIMUNDO_DA_COSTA_EMEF;RUA DIJACIR FERREIRA LIMA; S/N LAGOA DO RAMO. GOIABEIRA. 61700-000 Aquiraz - CE;;;
TELCO ADVISORS;EMTI_PROF_ELDER_GURGEL_SOUZA_MOREIRA;RUA JOSE RIBEIRO; S/N LIMOEIRO. 62870-000 Pacajus - CE.;;;
MUNICIPIO DE SOBRAL;CORREGEDORIA_GUARDA_SESEC;Av. José Figueiredo de Paula Pessoa;;;;
TELECOMUNICAÇÕES BRASILEIRAS S/A TELEBRAS;MTE_SAOPAULO;Rua Vergueiro; 2279 - Vila Mariana;;;
OI S.A. - EM RECUPERACAO JUDICIAL;OI_ANATEL_MA;Rua Oswaldo Cruz 1618; AN8 ; Centro; São Luís; MA
JADLOG LOGISTICA S.A;JADLOG_CACHOERINHA;Rua Canadá;475; São José;;
MUNICIPIO DE CAUCAIA;CCO_PONTA_A_2_VIDEO;Rua Barão de Ibiapaba; 278 - 388; Centro;;
MUNICIPIO DE CAUCAIA;CCO_PONTA_A_1_VIDEO;Rua Barão de Ibiapaba; 278 - 388; Centro;;
MUNICIPIO DE CAUCAIA;EEIE_DOM_ANTONIO_DE_ALMEIDA_LUSTOSA_VIDEO;Rua Pery;951; Parque Albano (Jurema);;
MUNICIPIO DE CAUCAIA;EEIEF_LUZIA_CORREIA_SALES_VIDEO;Estrada do Cumbuco;3132; Tabuba;;
MUNICIPIO DE CAUCAIA;EEIEF_EDGARD_VIEIRA_GUERRA_VIDEO;Avenida Contorno Sul;255; Nova Metrópole (Jurema);;
MUNICIPIO DE IGUATU;SINAL_SUPER_LAGOA;Avenida Carlos Roberto Costa;;;;
MOURAS RAQUEL - TREINAMENTO;CASA_2;Rua Ribeiro Júnior;;;;
BANCO DO NORDESTE DO BRASIL SA;BNB_CORRENTINA;Correntina - PRACA FELIPE SANTOS; 56 - CENTRO;;;
CACTUS ENERGY LTDA;USINA_CACTUS;Rodovia CE-183 KM 2; S/N; Lote B; Varzea da Palha;
TELECOMUNICAÇÕES BRASILEIRAS S/A TELEBRAS;INSS_MUTUM;Rua Olegário Maciel; Nº 141 - Bairro: Centro Mutum MG;;;
ROTARY CLUB DE IGUATU;Parque_Asa_Branca;Av Carlos Roberto Costa (Perimetral);;;;
MUNICIPIO DE ELDORADO DO SUL;SECRETARIA_DE_SAUDE_CONSELHO;Rua Mario Ribeiro;143; sala 6 - Centro; Eldorado do Sul;
ASSEMBLEIA LEGISLATIVA DO ESTADO DO CEARÁ - ALECE;ANEXO_IV;Av.Des. Moreira; 2930 - Bairro Dionísio Torres;Fortaleza-CE;;
ASSEMBLEIA LEGISLATIVA DO ESTADO DO CEARÁ - ALECE;ANEXO_III_DSAS;Av.PontesVieira;2300;Bairro Dionísio Torres;Fortaleza- CE;
ASSEMBLEIA LEGISLATIVA DO ESTADO DO CEARÁ - ALECE;ANEXO_II_Ed_Deputado_Euclides_Ferreira_Gomes;Rua Barbosa de Freitas;2674;Bairro Dionísio Torres; Fortaleza-CE;
ASSEMBLEIA LEGISLATIVA DO ESTADO DO CEARÁ - ALECE;ANEXO_I_Ed_Sen_Cesar_Cals;Av.Des. Moreira 2807 Bairro; Dionísio Torres;Fortaleza- CE;;
ASSEMBLEIA LEGISLATIVA DO ESTADO DO CEARÁ - ALECE;ALECE_Sede_Palacio_Dep_Adauto_Bezerra;Av.Des. Moreira 2807 Bairro; Dionísio Torres;Fortaleza- Ce;;
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA;AGEFIS;Rua Francisco José Albuquerque Pereira; 1020 - Cajazeiras. Cep: 60864-520;;;
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA;CISFOR;R. Padre Guerra; 1264 - Parquelândia; Fortaleza - CE; 60455-365;
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA;PQ_DAS_CRIANCAS;Av. Visconde do Rio Branco; 922 - Centro; Fortaleza - CE; 60055-170;
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA;COPIFOR;Rua Pereira Filgueiras; 16 - Centro;;;
AUTARQUIA MUNICIPAL DE TRANSITO E CIDADANIA;PACO_MUNICIPAL;R. São José; 01 - Centro; Fortaleza - CE; 60060-170;
MRS3 ENERGIAS DO BRASIL LTDA;USINA_MRS3;Loteamento Colinas 977;;;;
MUNICIPIO DE ELDORADO DO SUL;GAB_PREF_SUB_PREFEITURA;Rua Mauro Mendes Totta; n. 1001; bairro Sans Souci; Eldorado do Sul;
MUNICIPIO DE ELDORADO DO SUL;SEC_GAB_PREFEITURA_RUA_GRECIA;Rua Grécia; esquina com a Estrada da Arrozeira; nº 641 - salas 6 e 7. Bairro Centro - CEP: 92990-000 - Eldorado do Sul - RS;;
MUNICIPIO DE ELDORADO DO SUL;SEC_FAZENDA_CASA_DO_EMPREENDEDOR;Rua Grécia; esquina com a Estrada da Arrozeira; nº 641 - sala 4 Bairro Centro - CEP: 92990-000 Eldorado do Sul - RS;;
TELECOMUNICAÇÕES BRASILEIRAS S/A TELEBRAS;BELFORD_ROXO_TELEBRAS;Avenida Benjamin Pinto Dias 955; Centro - Centro de Regulação da Saúde e | Educação; sala 06 BELFORD ROXO RJ;;
MUNICIPIO DE SOBRAL;SEDE_DA_SECRETARIA_SEDHAS_NOVA;Avenida Comandante Maurocélio Rocha Pontes;;;;
MUNICIPIO DE IGUATU;FESTA_DA_PADROEIRA_SENHORA_SANTANA;PRAÇA MATRIZ;;;;
OI S.A. - EM RECUPERACAO JUDICIAL;COCAL_PIAUI_BNB;Rua Antônio Damasceno;;;;
SECRETARIA MUNICIPAL DE SEGURANCA CIDADA SESEC;AGEFIS_SESEC;Rua Francisco Jose Albuquerque Pereira;;;;
MUNICIPIO DE IGUATU;Parque_Asa_Branca_I_Festeja_Iguatu;Av Carlos Roberto Costa (Perimetral);;;;
MUNICIPIO DE SOBRAL;ARENA_AEROPORTO_FESTIVAL_DE_QUADRILHA;AV CMTE MAUROCELIO ROCHA LIMA;;;;
OI S.A. - EM RECUPERACAO JUDICIAL;BNB_CRATEUS;Rua; Coronel Zezé;1281; ; Centro
Cliente Teste de Treinamento;123123123;Rua Caetano Lisboa Aragao;;;;
OI S.A - EM RECUPERAÇÃO JUDICIAL;LIGHT_RIOJANEIRO;Avenida; MAL FLORIANO;168; BL 5 AN 4; CENTRO
MUNICIPIO DE CAUCAIA;UAB_Polo_Novo_Pabussu;Rua da Consolação; 465 - Novo Pabussu; Caucaia - CE CEP: 61600-3310;;
MUNICIPIO DE ELDORADO DO SUL;SAMU_ITAI;Rua Piratini nº 141 - Itaí - Eldorado do Sul.;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Roraima;IPHAN_BOAVISTA;Rua Coronel Pinto (esquina com Av. N. S. da Consolata); nº 465; Centro BOA VISTA RR;;
TELECOMUNICAÇÕES BRASILEIRAS S/A TELEBRAS;IPHAN_TIRADENTES;Rua da Câmara; n.º 124; Centro TIRADENTES MG;;
TELECOMUNICAÇÕES BRASILEIRAS S/A TELEBRAS;IPHAN_SERRO;Casa General Carneiro; Praça Presidente Vargas (Largo do Pelourinho); n.º 108; Centro SERRO MG;
MUNICIPIO DE ELDORADO DO SUL;ESF_Centro_Novo;R. Grécia; 2160 - Centro Novo Eldorado do Sul.;;;
MUNICIPIO DE ELDORADO DO SUL;CRAS_MAURO_MENDES;Rua Mauro Mendes Totta; nº 965 - Bairro Sans Souci - Eldorado do Sul.;;;
MUNICIPIO DE SOBRAL;ANEXO_CRAS_REGINAJUSTA_SEDHAS;Av dos Resedas SN Conj Nova Caicara Sobral CE;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Pernambuco;IPHAN_RECIFE;Rua Floriano Peixoto; nº 160. Bairro de São José RECIFE PE;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - RIO GRANDE DO SUL;IPHAN_SAOMIGUEL;AVENIDA IPIRANGA N° 6681 PRÉDIO 99 3° ANDAR SALA 311;;;;
TELECOMUNICAÇÕES BRASILEIRAS S/A TELEBRAS;IPHAN_PALMAS_TO;ACSE 11; Rua SE-7; nº 31; Sala 3; Plano Diretor Sul PALMAS TO
TELECOMUNICAÇÕES BRASILEIRAS S/A TELEBRAS;IPHAN_TELEBRAS;Est Rio Jequiá; rua CMDT Nazareno com Av Julieta Est Rádio Marinha;;;
MUNICIPIO DE SOBRAL;ALMOXARIFADO_EDUCACAO_SME;Avenida Senador Fernandes Távora;1177; Sinhá Sabóia; Sobral; CE
MUNICIPIO DE SOBRAL;CASA_DO_CIDADAO_SEDHAS;Rua Cel José Saboia;513; Centro; Sobral; CE
FUNDO MUNICIPAL DE SAÚDE DE IGUATU;CAPS_III;Rua 27 de Novembro; 569- Prado.;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;ANM_SUSSUARANA;Av.Ulisses Guimarães 650; CAB Ala Federal; 6ª Avenida Sussuarana SALVADOR BAHIA;;
OI S.A. - EM RECUPERACAO JUDICIAL;SAO_JOAO_PONTE;RUA TRINTA E UM DE DEZEMBRO;156; ; SAO JOAO DA PONTE; São João da Ponte
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - RIO GRANDE DO SUL;INSS_PORTO_ALEGRE;AVENIDA IPIRANGA N° 6681 PRÉDIO 99 3° ANDAR SALA 311;;;;
MUNICIPIO DE CAUCAIA;SETCULT_SECRET_CULTURA;RUA JOSÉ DA ROCHA SALES N° 297 CENTRO CAUCAIA;;;;
MUNICIPIO DE CAUCAIA;SETCULT_VICE_PREFEITA;RUA JOSÉ DA ROCHA SALES N° 295 CENTRO CAUCAIA;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Roraima;INSS_BOAVISTA_/29;Rua Glaycon de Paiva;132; Centro BOA VISTA RR;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS - Roraima;MINISTERIO_TRABALHO_BOA_VISTA;Rua Glaycon de Paiva;132; Centro BOA VISTA RR;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;IRECE_MINISTERIO_TRABALHO;Rua Augusto Pereira Nunes 135 Sala 216;;;;
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;JEQUIE__MINISTERIO_TRABALHO;Pça Professor Felix de Brito; s/n; Bairro São Luiz;;
MUNICIPIO DE SOBRAL;SEDE_DE_APOIO_OPERACIONAL_DA_SEC_SEGURANCA_SESEC;Rua Eduardo de Almeida Sanford;300; Alto do Cristo; Sobral; CE Coord : -3.6830243
OI S.A. - EM RECUPERACAO JUDICIAL;TAQUARANA;Rua 3 de Maio 98 Centro Taquarana AL;;;;
BANCO DO NORDESTE DO BRASIL S.A.;CENTRO_CULTURAL_SOUSA_BNB_PB;RUA CORONEL JOSÉ GOMES DE SÁ; 07 - CENTRO CEP 58800-090 - SOUSA;;;
BANCO DO NORDESTE DO BRASIL S.A.;SAO_PAULO_BNB_SP;AV. PAULISTA; ED. PEDRO BIAGI; 460 - BELA VISTA - 1º ANDAR CEP 01310-000 - SÃO PAULO;;
BANCO DO NORDESTE DO BRASIL S.A.;RIO_DE_JANEIRO_BNB_RJ;AV. RIO BRANCO; 89 - CENTRO - SALA 1001 CEP 20040-004 - RIO DE JANEIRO;;;
BANCO DO NORDESTE DO BRASIL S.A.;SUPERINTENDENCIA_ESTADUAL_DE_MINAS_GERAIS_BNB_MG;RUA BARAO DO RIO BRANCO; 32 - CENTRO CEP 39400-075 - MONTES CLAROS;;;
BANCO DO NORDESTE DO BRASIL S.A.;MONTES_CLAROS_CREDIAMIGO_AGROAMIGO_BNB_MG;PRACA DR CARLOS VERSIANI; 20 - CENTRO CEP 39400-612 - MONTES CLAROS;;;
BANCO DO NORDESTE DO BRASIL S.A.;CENTRAIS_MONTES_CLAROS_BNB_MG;AV DEPUTADO ESTEVES RODRIGUES; 840 - TEMPRO CEP 39400-213 - MONTES CLAROS;;;
BANCO DO NORDESTE DO BRASIL S.A.;CENTRAIS_MACEIO_BNB_AL;AV DR JULIO MARQUES LUZ 1434 - JATIUCA CEP 57035-700 - MACEIÓ;;;;
BANCO DO NORDESTE DO BRASIL S.A.;CENTRO_CULTURAL_JUAZEIRO_DO_NORTE_BNB_CE;RUA SÃO PEDRO; 337 - CENTRO CEP 63010-010 - JUAZEIRO DO NORTE;;;
BANCO DO NORDESTE DO BRASIL S.A.;SUPERINTENDENCIA_ESTADUAL_DA_PARAIBA_BNB_PB;AV PRESIDENTE EPITACIO PESSOA; 1498 - TORRE - 1º ANDAR CEP 58040-000 - JOÃO PESSOA;;;
BANCO DO NORDESTE DO BRASIL S.A.;CENTRO_CULTURAL_FORTALEZA_BNB_CE;RUA CONDE D´EU; 560 - CENTRO CEP 60055-070 - FORTALEZA;;;
BANCO DO NORDESTE DO BRASIL S.A.;GAPRE_BRASILIA_BNB_DF;SCS QD 02 BLOCO C - CENTRO CEP 70302-911 - BRASÍLIA;;;;
BANCO DO NORDESTE DO BRASIL S.A.;VICOSA_BNB_AL;RUA FREDERICO MAIA; 43/45 - CENTRO CEP 57700-000 - VIÇOSA;;;
BANCO DO NORDESTE DO BRASIL S.A.;SUME_BNB_PB;AV PRIMEIRO DE ABRIL; BR - 412 - CENTRO CEP 58540-000 - SUMÉ;;;
BANCO DO NORDESTE DO BRASIL S.A.;SOLANEA_BNB_PB;PRAÇA 26 DE NOVEMBRO; 25 - CENTRO CEP 58225-000 - SOLÂNEA;;;
BANCO DO NORDESTE DO BRASIL S.A.;SAO_RAIMUNDO_NONATO_BNB_PI;AV. PROF. JOAO MENEZES; 567 - CENTRO CEP 64770-000 - SÃO RAIMUNDO NONATO;;;
BANCO DO NORDESTE DO BRASIL S.A.;SALINAS_BNB_MG;AV. BARÃO DO RIO BRANCO; 32 - CENTRO CEP 39560-000 - SALINAS;;;
BANCO DO NORDESTE DO BRASIL S.A.;POMBAL_BNB_PB;RUA PADRE AMANCIO LEITE; 35 - CENTRO CEP 58840-000 - POMBAL;;;
BANCO DO NORDESTE DO BRASIL S.A.;PAULISTANA_BNB_PI;AV. MARECHAL DEODORO; 33 - CENTRO CEP 64750-000 - PAULISTANA;;;
BANCO DO NORDESTE DO BRASIL S.A.;PAU_DOS_FERROS_BNB_RN;PRAÇA DA MATRIZ; 104 - ED.MANOEL REGINALDO - CENTRO CEP 59900-000 - PAU DOS FERROS;;;
BANCO DO NORDESTE DO BRASIL S.A.;OEIRAS_BNB_PI;AV. JOSE TAPETY; 76 - CENTRO CEP 64500-000 - OEIRAS;;;
BANCO DO NORDESTE DO BRASIL S.A.;NOSSA_SENHORA_DA_GLORIA_BNB_SE;PRAÇA FILEMON BEZERRA LEMOS; 30 - CENTRO CEP 49680-000 - NOSSA SENHORA DA GLÓRIA;;;
BANCO DO NORDESTE DO BRASIL S.A.;MUNDO_NOVO_BNB_BA;PRACA SENADOR COHIN; S/N - CENTRO CEP 44800-000 - MUNDO NOVO;;;
BANCO DO NORDESTE DO BRASIL S.A.;MORRO_DO_CHAPEU_BNB_BA;PRACA CAMILO CALAZANS; 71 - CENTRO CEP 44850-000 - MORRO DO CHAPÉU;;;
BANCO DO NORDESTE DO BRASIL S.A.;GOVERNADOR_NUNES_FREIRE_BNB_MA;RUA 7 DE SETEMBRO; 223 - CENTRO CEP 65284-000 - GOVERNADOR NUNES FREIRE;;;
BANCO DO NORDESTE DO BRASIL S.A.;ITABAIANA_BNB_SE;RUA FRANCISCO SANTOS; 209 - CENTRO CEP 49500-067 - ITABAIANA;;;
BANCO DO NORDESTE DO BRASIL S.A.;JAGUARIBE_BNB_CE;PRAÇA TENENTE BARREIRA; 280 - CENTRO CEP 63475-000 - JAGUARIBE;;;
BANCO DO NORDESTE DO BRASIL S.A.;ARACUAI_BNB_MG;RUA DOUTOR TULO HOSTILO; 545 - A - ALTO MERCADO CEP 39600-000 - ARAÇUAÍ;;;
BANCO DO NORDESTE DO BRASIL S.A.;CURRAIS_NOVOS_BNB_RN;AV.DR.SILVIO BEZERRA DE MELO; 730 - CENTRO CEP 59380-000 - CURRAIS NOVOS;;;
BANCO DO NORDESTE DO BRASIL S.A.;CATOLE_DO_ROCHA_BNB_PB;AV. DEPUTADO AMERICO MAIA; 129 - CENTRO CEP 58884-000 - CATOLÉ DO ROCHA;;;
BANCO DO NORDESTE DO BRASIL S.A.;CAMACAN_BNB_BA;AV. DR. JOAO VARGENS; 81 - CENTRO CEP 45880-000 - CAMACAN;;;
BANCO DO NORDESTE DO BRASIL S.A.;BOM_CONSELHO_BNB_PE;RUA SETE DE SETEMBRO; 126 - CENTRO CEP 55330-000 - BOM CONSELHO;;;
BANCO DO NORDESTE DO BRASIL S.A.;BATALHA_BNB_AL;PRAÇA DA PENHA; 22 - CENTRO CEP 57420-000 - BATALHA;;;
BANCO DO NORDESTE DO BRASIL S.A.;APODI_BNB_RN;RUA MARECHAL FLORIANO PEIXOTO; 29 - CENTRO CEP 59700-000 - APODI;;;
BANCO DO NORDESTE DO BRASIL S.A.;ANDARAI_BNB_BA;PRAÇA SAO FRANCISCO; S/N - ALTO DO IBIRAPITANGA CEP 46830-000 - ANDARAÍ;;;
BANCO DO NORDESTE DO BRASIL S.A.;AGUA_BRANCA_BNB_PI;AV. NECO TEIXEIRA; 430 - CENTRO CEP 64460-000 - ÁGUA BRANCA;;;
BANCO DO NORDESTE DO BRASIL S.A.;VICOSA_DO_CEARA_BNB_CE;RUA PADRE JOSE BEVILAQUA; 135 - CENTRO CEP 62300-000 - VIÇOSA DO CEARÁ;;;
BANCO DO NORDESTE DO BRASIL S.A.;VIANA_BNB_MA;AV LUIS DE ALMEIDA COUTO; S/N - CENTRO CEP 65215-000 - VIANA;;;
BANCO DO NORDESTE DO BRASIL S.A.;VALENCA_BNB_BA;RUA BARAO DE JEQUIRICA; 253 - CENTRO CEP 45400-000 - VALENÇA;;;
BANCO DO NORDESTE DO BRASIL S.A.;UNIAO_DOS_PALMARES_BNB_AL;AV XV DE NOVEMBRO; 64 - CENTRO CEP 57800-000 - UNIÃO DOS PALMARES;;;
BANCO DO NORDESTE DO BRASIL S.A.;TUTOIA_BNB_MA;RUA CELSON FONSECA; 270 - CENTRO CEP 65580-000 - TUTÓIA;;;
BANCO DO NORDESTE DO BRASIL S.A.;TOBIAS_BARRETO_BNB_SE;AV. SETE DE JUNHO; 618 - ED.EPIFANIO DA FONSE - CENTRO CEP 49300-000 - TOBIAS BARRETO;;;
BANCO DO NORDESTE DO BRASIL S.A.;TIANGUA_BNB_CE;R DEPUTADO MANOEL FRANCISCO; 453 - CENTRO CEP 62320-000 - TIANGUÁ;;;
BANCO DO NORDESTE DO BRASIL S.A.;TEOFILO_OTONI_BNB_MG;RUA DOUTOR MANOEL ESTEVES; 87 - CENTRO CEP 39800-090 - TEÓFILO OTONI;;;
BANCO DO NORDESTE DO BRASIL S.A.;TEIXEIRA_DE_FREITAS_BNB_BA;AV. MARECHAL CASTELO BRANCO; 698 - CENTRO CEP 45985-154 - TEIXEIRA DE FREITAS;;;
BANCO DO NORDESTE DO BRASIL S.A.;TAUA_BNB_CE;RUA CORONEL LOURENCO FEITOSA; 10 - CENTRO CEP 63660-000 - TAUÁ;;;
BANCO DO NORDESTE DO BRASIL S.A.;SOUSA_BNB_PB;RUA CEL.JOSE GOMES DE SA; 5 - CENTRO CEP 58800-050 - SOUSA;;;
BANCO DO NORDESTE DO BRASIL S.A.;SERRINHA_BNB_BA;PRAÇA LUIZ NOGUEIRA; 235 - CENTRO CEP 48700-000 - SERRINHA;;;
BANCO DO NORDESTE DO BRASIL S.A.;SERRA_TALHADA_BNB_PE;RUA DOUTOR SERGIO MAGALHAES; 820 - CENTRO CEP 56903-410 - SERRA TALHADA;;;
BANCO DO NORDESTE DO BRASIL S.A.;SENHOR_DO_BONFIM_BNB_BA;PRAÇA DR. JOSE GONCALVES; 224 - CENTRO CEP 48970-000 - SENHOR DO BONFIM;;;
BANCO DO NORDESTE DO BRASIL S.A.;SAO_MIGUEL_DOS_CAMPOS_BNB_AL;RUA BARAO DE JEQUIA; 86 - CENTRO CEP 57240-000 - SÃO MIGUEL DOS CAMPOS;;;
BANCO DO NORDESTE DO BRASIL S.A.;SAO_MATEUS_BNB_ES;AV JONES DOS SANTOS NEVES; 609 - SERNAMBY CEP 29930-445 - SÃO MATEUS;;;
BANCO DO NORDESTE DO BRASIL S.A.;SAO_LOURENCO_DA_MATA_BNB_PE;AV FRANCISCO CORREIA; 1263 - CENTRO CEP 54730-000 - SÃO LOURENÇO DA MATA;;;
BANCO DO NORDESTE DO BRASIL S.A.;SAO_JOSE_DE_RIBAMAR_BNB_MA;AV GONÇALVES DIAS; 593 - CENTRO CEP 65110-000 - SÃO JOSÉ DE RIBAMAR;;;
BANCO DO NORDESTE DO BRASIL S.A.;SAO_FRANCISCO_BNB_MG;AV BRASILIANO BRAZ; 810 - CENTRO CEP 39300-000 - SÃO FRANCISCO;;;
